case_id,issue_type,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,expected_confidence,evidence_summary,next_command,fix_steps,ai_root_cause,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,human_decision,human_correction,verification
C11,Routing,Routing protocol neighbors are not forming.,R1 and R2 are directly connected.,show ip protocols: OSPF process active; show ip interface brief: link up/up; show run: different area IDs.,OSPF area mismatch.,Layer 3,OSPF,High,High,Interfaces are up but OSPF area configuration differs.,show ip ospf interface,Configure matching OSPF area settings.,,,,,,,,
C12,Routing,A directly connected server cannot be reached from router.,Server network should be 172.16.50.0/24.,show ip interface brief: G0/1 administratively down.,Router interface is shutdown.,Layer 1/3,Interface State,High,High,G0/1 is administratively down.,show ip interface brief,Enable G0/1 and verify link/IP configuration.,,,,,,,,
C13,DHCP,PC receives 169.254.x.x address instead of a lab subnet address.,DHCP server is on another subnet.,ipconfig: 169.254.10.5; show run interface G0/0.20: no ip helper-address.,Missing DHCP relay.,Layer 3,DHCP Relay,High,High,No helper address exists on the client VLAN interface.,show run interface G0/0.20,Add the DHCP server IP with ip helper-address.,,,,,,,,
C14,DHCP,PC receives an IP address but cannot use the intended gateway.,DHCP pool should serve 192.168.20.0/24.,show run | section dhcp: default-router 192.168.30.1.,Wrong DHCP default-router option.,Layer 3,DHCP,High,High,DHCP pool advertises a gateway from another subnet.,show run | section dhcp,Correct the default-router value and renew the lease.,,,,,,,,
C15,DHCP,New clients cannot obtain addresses while existing clients work.,DHCP pool is for 192.168.10.0/24.,show ip dhcp pool: 100% utilization.,DHCP pool exhausted.,Layer 3,DHCP,Medium,High,Pool utilization is 100%.,show ip dhcp pool,Expand the address pool or release unused leases.,,,,,,,,
C16,DHCP,Only clients on one VLAN fail to get DHCP addresses.,Server works for VLAN 10; VLAN 20 fails.,show run interface G0/0.20: ip helper-address points to 192.168.99.99; actual server is 192.168.99.10.,Incorrect DHCP relay address.,Layer 3,DHCP Relay,High,High,Helper address does not match the DHCP server IP.,show run interface G0/0.20,Correct the helper address.,,,,,,,,
C17,DNS,PC can ping server IP but cannot open server by hostname.,DNS server is 192.168.50.10.,ipconfig /all: DNS server 192.168.50.99; ping 192.168.50.10 succeeds.,Wrong DNS server configured on client.,Layer 7,DNS,Medium,High,Client points to 192.168.50.99 instead of the DNS server.,ipconfig /all,Configure the correct DNS server and retry name resolution.,,,,,,,,
C18,DNS,Hostname resolution fails but direct IP access works.,DNS service should run on Server1.,Server DNS service: Off.,DNS service disabled.,Layer 7,DNS,Medium,High,Server shows DNS service disabled.,Check DNS service status,Enable DNS service and verify the record.,,,,,,,,
C19,DNS,One website name fails while other names resolve.,DNS server is reachable.,DNS table has no A record for intranet.local.,Missing DNS record.,Layer 7,DNS,Low,High,Expected hostname has no corresponding DNS record.,Check DNS records,Add the correct A record and test resolution.,,,,,,,,
C20,ACL,PC can reach gateway but cannot reach server on TCP 80.,ACL is applied inbound on router LAN interface.,show access-lists: deny tcp 192.168.10.0 0.0.0.255 host 10.10.40.10 eq 80.,ACL explicitly denies HTTP traffic.,Layer 4,ACL,High,High,"ACL contains a deny statement matching source, destination, and port.",show access-lists,Modify/remove the blocking rule according to policy.,,,,,,,,
C21,ACL,Ping works but SSH to router fails from management subnet.,Management access should permit SSH.,show access-lists: deny tcp 192.168.20.0 0.0.0.255 any eq 22.,ACL blocks SSH.,Layer 4,ACL,Medium,High,ACL denies TCP port 22 from management subnet.,show access-lists,Add an appropriate permit for authorized management hosts.,,,,,,,,
C22,ACL,Guest VLAN can access an internal server that should be isolated.,Guest subnet is 192.168.50.0/24; server is 10.10.40.10.,show access-lists: no deny from 192.168.50.0/24 to 10.10.40.0/24.,Missing guest isolation rule.,Layer 3/4,ACL,Critical,High,ACL has no rule denying guest-to-internal traffic.,show access-lists,Add a policy-compliant deny for guest access to internal networks.,,,,,,,,
C23,NAT,Inside PC can reach router but cannot reach Internet address.,PAT should translate 192.168.10.0/24.,show ip nat translations: empty; show run: no ip nat inside source command.,Missing NAT/PAT configuration.,Layer 3,NAT,High,High,No translations and no NAT source rule are present.,show ip nat translations,Configure PAT using the correct inside interface/access list.,,,,,,,,
C24,NAT,NAT is configured but translations are not created.,R1 has inside LAN and outside WAN interfaces.,show run interface G0/0: ip nat inside; G0/1: no ip nat outside.,Outside interface lacks NAT role.,Layer 3,NAT,High,High,WAN interface is not marked ip nat outside.,show run interface G0/1,Configure ip nat outside on the WAN interface.,,,,,,,,
C25,NAT,Only some inside hosts reach the Internet.,NAT ACL should include 192.168.10.0/24.,show access-lists NAT_ACL: permit 192.168.20.0 0.0.0.255.,NAT ACL matches wrong subnet.,Layer 3,NAT,High,High,"NAT ACL permits 192.168.20.0/24, not the actual client subnet.",show access-lists NAT_ACL,Correct the NAT ACL network and verify translations.,,,,,,,,
C26,Wireless,Laptop associates with SSID but receives no usable IP.,AP connects clients to VLAN 30.,Laptop IP: 169.254.2.3; DHCP pool for VLAN 30 exists; AP uplink is access VLAN 1.,AP uplink VLAN mismatch.,Layer 2/3,Wireless,High,Medium,AP uplink is placed in VLAN 1 instead of the wireless client VLAN.,show interfaces switchport,Correct AP uplink VLAN configuration.,,,,,,,,
C27,Wireless,Clients can connect to Wi-Fi but cannot reach internal resources.,Guest SSID should be isolated.,SSID mapped to internal VLAN 10 instead of guest VLAN 50.,Wrong wireless VLAN mapping.,Layer 2,Wireless,Critical,High,SSID is mapped to an internal VLAN.,Check SSID/VLAN mapping,Map the SSID to the intended guest VLAN and apply isolation policy.,,,,,,,,
C28,Wireless,Wireless client frequently disconnects while wired clients are stable.,AP channel overlaps with nearby AP in lab simulation.,Wireless settings show same channel and interference warning.,RF/channel interference.,Layer 1/2,Wireless,Medium,Medium,Wireless configuration indicates channel overlap/interference.,Check wireless channel settings,Choose a non-overlapping channel and retest.,,,,,,,,
C29,Wireless,Laptop connects to SSID but authentication fails.,WPA2 key should match AP configuration.,Client security key differs from AP configured key.,Incorrect wireless security credentials.,Layer 2,Wireless Security,Medium,High,Client and AP security credentials do not match.,Check wireless security settings,Use the correct authorized security configuration.,,,,,,,,
C30,Interface,PC suddenly loses connectivity after a switch-port change.,Port should be enabled and connected to the client VLAN.,show interfaces Fa0/10 status: err-disabled.,Switch port is err-disabled.,Layer 2,Interface/Switching,High,High,Port status explicitly shows err-disabled.,show interfaces status,"Identify the cause, correct the configuration, then safely recover the port.",,,,,,,,
